time,timestamp,Rxx,Rxy,Rxz,Px,Ryx,Ryy,Ryz,Py,Rzx,Rzy,Rzz,Pz,R01,R02,R03,P
12.78850985,1681438652,0.999999821,0.000610766,0,-0.860576749,-0.000610766,0.999999821,0,4.392451763,0,0,1,0,0,0,0,1
12.87104988,1681438652,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
12.9704299,1681438652,0.999996305,0.002713992,0,-2.711688757,-0.002713992,0.999996305,0,6.623204708,0,0,1,0,0,0,0,1
13.08664989,1681438653,0.999987364,0.005030688,0,-4.361424446,-0.005030688,0.999987364,0,8.089962006,0,0,1,0,0,0,0,1
13.30422997,1681438653,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
13.38865995,1681438653,0.99999547,0.00301037,0,-1.369479179,-0.00301037,0.99999547,0,1.933327913,0,0,1,0,0,0,0,1
13.47487998,1681438653,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
13.56007981,1681438653,0.999993801,0.003513956,0,-1.653771996,-0.003513956,0.999993801,0,2.600277662,0,0,1,0,0,0,0,1
13.77975988,1681438653,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
13.8460598,1681438653,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
13.94331002,1681438653,0.999998808,0.00154916,0,-0.863457024,-0.00154916,0.999998808,0,3.416320562,0,0,1,0,0,0,0,1
14.06490993,1681438654,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
14.26840997,1681438654,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
14.35316992,1681438654,0.999999821,0.000610766,0,-0.860576749,-0.000610766,0.999999821,0,4.392451763,0,0,1,0,0,0,0,1
14.42725992,1681438654,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
14.51962996,1681438654,0.999996305,0.002713992,0,-2.711688757,-0.002713992,0.999996305,0,6.623204708,0,0,1,0,0,0,0,1
14.63794994,1681438654,0.999987364,0.005030688,0,-4.361424446,-0.005030688,0.999987364,0,8.089962006,0,0,1,0,0,0,0,1
14.72893,1681438654,0.999990106,0.004449803,0,-2.492786407,-0.004449803,0.999990106,0,2.197156668,0,0,1,0,0,0,0,1
14.83676982,1681438654,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
15.03964996,1681438655,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
15.1323998,1681438655,0.999993801,0.003513956,0,-1.653771996,-0.003513956,0.999993801,0,2.600277662,0,0,1,0,0,0,0,1
15.21153998,1681438655,0.999997914,0.002035006,0,-0.781640291,-0.002035006,0.999997914,0,2.371063709,0,0,1,0,0,0,0,1
15.31842995,1681438655,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
15.50773001,1681438655,0.999998808,0.00154916,0,-0.863457024,-0.00154916,0.999998808,0,3.416320562,0,0,1,0,0,0,0,1
15.58780003,1681438655,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
15.80234981,1681438655,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
16.02905989,1681438656,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
16.12364984,1681438656,0.999996305,0.002713992,0,-2.711688757,-0.002713992,0.999996305,0,6.623204708,0,0,1,0,0,0,0,1
16.20640993,1681438656,0.999987364,0.005030688,0,-4.361424446,-0.005030688,0.999987364,0,8.089962006,0,0,1,0,0,0,0,1
16.29080987,1681438656,0.999990106,0.004449803,0,-2.492786407,-0.004449803,0.999990106,0,2.197156668,0,0,1,0,0,0,0,1
16.39731002,1681438656,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
16.49754,1681438656,0.99999547,0.00301037,0,-1.369479179,-0.00301037,0.99999547,0,1.933327913,0,0,1,0,0,0,0,1
16.60558987,1681438656,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
16.79858994,1681438656,0.999997914,0.002035006,0,-0.781640291,-0.002035006,0.999997914,0,2.371063709,0,0,1,0,0,0,0,1
16.89157987,1681438656,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
16.99855995,1681438657,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
17.08014989,1681438657,0.999998808,0.00154916,0,-0.863457024,-0.00154916,0.999998808,0,3.416320562,0,0,1,0,0,0,0,1
17.17891979,1681438657,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
17.37615991,1681438657,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
17.47011995,1681438657,0.999999821,0.000610766,0,-0.860576749,-0.000610766,0.999999821,0,4.392451763,0,0,1,0,0,0,0,1
17.57938981,1681438657,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
17.65387988,1681438657,0.999996305,0.002713992,0,-2.711688757,-0.002713992,0.999996305,0,6.623204708,0,0,1,0,0,0,0,1
